2992023 151900;14820.25;14828.5;14819.5;14822;785
2992023 151800;14835.75;14836.5;14818.25;14820;1405
2992023 151700;14833.25;14841.5;14831.75;14836.5;801
2992023 151600;14833.5;14840;14832;14833.75;653
2992023 151500;14836.5;14843;14833;14834;1066
2992023 151400;14834;14840.5;14832.5;14836.75;516
2992023 151300;14830.75;14839.75;14830;14833.25;618
2992023 151200;14828.5;14835.5;14827.5;14830.25;780
2992023 151100;14828.75;14836.5;14825;14828.25;920
2992023 151000;14830.5;14834.25;14825.25;14828.5;1117
2992023 150900;14836;14838.25;14829;14829.75;631
2992023 150800;14831;14838.75;14828;14836.25;756
2992023 150700;14829.25;14836.75;14824;14830.5;1154
2992023 150600;14836;14843.25;14828.75;14829.25;1208
2992023 150500;14831.75;14839;14831.5;14836.5;1227
2992023 150400;14819;14835.5;14817.25;14832;1384
2992023 150300;14821.75;14825;14817.25;14819.25;936
2992023 150200;14822;14826.5;14816.75;14822;1245
2992023 150100;14820;14828;14819.25;14822.25;1823
2992023 150000;14820.75;14824.75;14820;14820;1014
2992023 145900;14834;14835.75;14819.75;14821.25;2035
2992023 145800;14846.5;14848;14832.5;14834.25;913
2992023 145700;14844.75;14852;14843.25;14846.5;693
2992023 145600;14841;14847;14839;14845;732
2992023 145500;14852;14857;14840;14840.75;1273
2992023 145400;14836;14852;14835.25;14852;985
2992023 145300;14841.25;14845.5;14835;14835.75;874
2992023 145200;14845;14849;14840.75;14841.5;640
2992023 145100;14845.5;14850;14839.75;14844;949
2992023 145000;14854;14855.25;14838.75;14845.5;1527
2992023 144900;14859.5;14860.25;14850.25;14853.5;1506
2992023 144800;14866.25;14868;14859.5;14859.75;471
2992023 144700;14859.5;14867.25;14856;14866.5;718
2992023 144600;14864.75;14869.5;14857.75;14860.25;678
2992023 144500;14868.5;14872.25;14863.25;14865;577
2992023 144400;14868.75;14873;14867;14868.5;962
2992023 144300;14858.5;14869;14858.25;14868.75;687
2992023 144200;14854.25;14866.75;14854;14858.25;717
2992023 144100;14860.25;14862.25;14853.25;14854.5;467
2992023 144000;14856.5;14864;14854.5;14861;497
2992023 143900;14858.5;14864.75;14855.75;14856.75;600
2992023 143800;14855;14861.25;14852.5;14858.25;723
2992023 143700;14866.5;14867.75;14855;14855;636
2992023 143600;14857.75;14867;14855.5;14866.75;737
2992023 143500;14854.75;14859.75;14852;14858.5;1156
2992023 143400;14866.5;14868.75;14854;14854.75;1205
2992023 143300;14871.5;14871.75;14864.75;14866.75;922
2992023 143200;14866.25;14873;14863;14871;1004
2992023 143100;14865.75;14868.75;14861;14866.5;1079
2992023 143000;14861;14866;14859;14865.5;563
2992023 142900;14865.75;14867;14856;14861.25;986
2992023 142800;14863.75;14866.25;14859;14865.25;1205
2992023 142700;14848.75;14864.25;14848.75;14863.75;1504
2992023 142600;14844.5;14855.25;14843.5;14849.25;1114
2992023 142500;14845.5;14847.75;14842.5;14844.25;576
2992023 142400;14847.25;14848.75;14839.5;14846;981
2992023 142300;14848.75;14856.75;14844;14847.25;1579
2992023 142200;14850;14850.5;14841.75;14848.75;1362
2992023 142100;14840;14851;14838.25;14850.25;1581
2992023 142000;14830;14844;14829.75;14839.75;1164
2992023 141900;14840.5;14840.5;14827;14828.75;1441
2992023 141800;14839;14845;14836.5;14840.75;1093
2992023 141700;14835.75;14843.25;14833;14838.75;1249
2992023 141600;14843.5;14845.5;14834.75;14836;1388
2992023 141500;14840;14846.25;14837.25;14843.25;1064
2992023 141400;14847.75;14848;14838;14840.5;1206
2992023 141300;14851.75;14852.25;14842.75;14848.5;1239
2992023 141200;14851;14856.75;14849;14852.5;1092
2992023 141100;14849.25;14855.75;14848;14851;884
2992023 141000;14847.5;14855.75;14846.5;14849;1246
2992023 140900;14847.75;14850;14839.25;14848;1651
2992023 140800;14849;14854.5;14846;14848;1296
2992023 140700;14855;14856.25;14847;14849;2180
2992023 140600;14869.25;14870.25;14854.25;14854.75;1437
2992023 140500;14865.25;14871.75;14864.75;14869;970
2992023 140400;14867;14872.5;14861.25;14865;1247
2992023 140300;14872.25;14872.5;14860;14867;2557
2992023 140200;14881;14884.75;14868.25;14872.5;2444
2992023 140100;14896;14896;14879;14881;1522
2992023 140000;14891;14897;14890.25;14895.5;857
2992023 135900;14895.5;14899;14888.25;14891;983
2992023 135800;14895.75;14899.25;14894.25;14895;882
2992023 135700;14889.75;14897.5;14886.5;14896.25;934
2992023 135600;14887;14895;14886.25;14889.25;1031
2992023 135500;14895.25;14896.75;14885.5;14886.5;1154
2992023 135400;14890;14897.75;14889;14894.75;1139
2992023 135300;14905;14905.5;14889;14889.5;1619
2992023 135200;14904;14908.5;14897;14905.25;1307
2992023 135100;14907.75;14911.5;14903;14903.75;963
2992023 135000;14900.25;14908.25;14898.75;14907.5;1372
2992023 134900;14924;14924;14898.75;14900.25;2593
2992023 134800;14936.75;14936.75;14916.75;14924;1808
2992023 134700;14930.25;14942.75;14930.25;14936.75;871
2992023 134600;14926.5;14939.25;14924.5;14929.75;1408
2992023 134500;14925.75;14930;14923.25;14926.25;752
2992023 134400;14927.75;14933.25;14924.75;14926;1038
2992023 134300;14944.75;14945.5;14927.5;14928.25;1249
2992023 134200;14946.5;14950;14941.75;14944.75;1216
2992023 134100;14938.75;14947.5;14933.75;14946.5;798
2992023 134000;14941;14941;14932.25;14938.75;1009
2992023 133900;14950.25;14953;14939.5;14940.75;696
2992023 133800;14951.75;14952.5;14948;14950.5;540
2992023 133700;14947;14953.5;14945.75;14953;760
2992023 133600;14944.25;14948.5;14942.25;14947;559
2992023 133500;14937;14946.5;14934;14944.5;1285
2992023 133400;14951.25;14952.5;14935;14936.75;1194
2992023 133300;14952.5;14957.75;14945.25;14951.75;915
2992023 133200;14950.5;14954.75;14950;14952.5;554
2992023 133100;14947.75;14952;14941.75;14950.5;698
2992023 133000;14947.5;14951;14942;14947;624
2992023 132900;14951;14951;14942.75;14947.25;816
2992023 132800;14953.5;14957;14947;14950.75;969
2992023 132700;14957;14961;14950.75;14953.25;680
2992023 132600;14951.75;14959.5;14950.25;14957.5;756
2992023 132500;14956;14958.25;14951.75;14952.25;726
2992023 132400;14963;14964;14952.5;14955.5;1324
2992023 132300;14958;14965.75;14957.5;14962.75;1831
2992023 132200;14950;14959;14945.25;14958;1484
2992023 132100;14944;14951.75;14941.5;14950.5;956
2992023 132000;14940;14945.75;14938.5;14944.25;934
2992023 131900;14933.25;14942;14930.25;14940.5;1034
2992023 131800;14926.5;14934.5;14924.5;14934;1091
2992023 131700;14918.25;14929.25;14914;14927;1475
2992023 131600;14919;14924;14915.75;14918;1076
2992023 131500;14917.25;14923;14913.5;14919.25;1630
2992023 131400;14943;14944.75;14916;14916.25;2975
2992023 131300;14949;14951;14941.75;14943;997
2992023 131200;14948.25;14953.75;14947.25;14949.25;888
2992023 131100;14941.5;14951.75;14935.5;14948.5;1399
2992023 131000;14946.5;14950.5;14940;14941.5;851
2992023 130900;14950.5;14951.5;14945.5;14946.5;733
2992023 130800;14945.5;14951.25;14943.25;14950;857
2992023 130700;14943;14952.75;14942.5;14946.25;1949
2992023 130600;14938.75;14943.5;14932;14943;846
2992023 130500;14930;14942;14929.25;14938.25;966
2992023 130400;14930.25;14935;14927;14930.5;1028
2992023 130300;14932.5;14937.25;14928.5;14930.25;650
2992023 130200;14939.25;14939.75;14927.75;14931.75;1096
2992023 130100;14941;14941.75;14933;14939.75;1055
2992023 130000;14942.75;14943.75;14935.75;14940.5;1043
2992023 125900;14941.5;14947.75;14939.25;14942.75;1343
2992023 125800;14939.5;14943;14934.25;14942;1059
2992023 125700;14932.25;14943.75;14932;14939.75;1763
2992023 125600;14925.25;14933.75;14921.5;14932.5;1490
2992023 125500;14912;14927.5;14910.25;14925.25;2126
2992023 125400;14933.75;14934.5;14907.75;14912;3145
2992023 125300;14937.25;14940.5;14932;14933.5;1208
2992023 125200;14933.5;14938.25;14925;14937;1143
2992023 125100;14929.5;14936.25;14927.25;14933.5;1165
2992023 125000;14930;14932.25;14923.5;14929.5;1222
2992023 124900;14933.25;14937.75;14930;14930.5;1007
2992023 124800;14931.75;14939.75;14931;14933.75;961
2992023 124700;14932.25;14935.75;14926;14931.75;1295
2992023 124600;14932.25;14940.5;14931.75;14931.75;1763
2992023 124500;14923.25;14932.25;14922.75;14932;1447
2992023 124400;14931;14932.5;14915.75;14923.5;2748
